NOM|ARRONDISSEMENT|NO_CIVIQUE|RUE|ANC_VILLE|VOCATION
Centre Ferland|1|1600|8e, Avenue |Québec|Centre communautaire
Centre J.-B.-Lafrance|2|4075|Maria-Goretti, Rue |Québec|Centre communautaire
Centre communautaire Lebourgneuf|2|1650|La Morille, Boulevard |Québec|Centre communautaire
Centre communautaire Lucien-Borne|1|100|Sainte-Foy, Chemin |Québec|Centre communautaire
Centre Marchand|1|2740|2e, Avenue |Québec|Centre communautaire
Centre Monseigneur-Bouffard|1|295|Marie-de-l'Incarnation, Rue |Québec|Centre communautaire
Centre communautaire Michel-Labadie|2|3705|Chauveau, Avenue |Québec|Centre communautaire
Centre Saint-Roch|1|230|Pont, Rue du |Québec|Centre communautaire
Chalet Lacroix|1|2000|Montmorency, Boulevard |Québec|Pavillon de services et de loisirs
Pavillon Edmond-Gagnon|1|1395|D'Estimauville, Avenue |Québec|Pavillon de services et de loisirs
Pavillon Parc Bardy|1|2025|Adjutor-Rivard, Rue |Québec|Pavillon de services et de loisirs
Pavillon Parc de l'Accueil|2||Primevères, Rue des |Québec|Pavillon de services et de loisirs
Pavillon Parc Montchatel|6|13550|Duhamel, Rue |Québec|Pavillon de services et de loisirs
Pavillon Parc Sainte-Odile|1|255|Peupliers Ouest, Rue des |Québec|Pavillon de services et de loisirs
Pavillon Parc de Saint-Sacrement|1|1360|Entente, Boulevard de l' |Québec|Pavillon de services et de loisirs
Pavillon Parc des Brumes|2|6920|Brumes, Rue des |Québec|Pavillon de services et de loisirs
Pavillon Parc des Musiciens|6|12085|Saint-Claude, Boulevard |Québec|Pavillon de services et de loisirs
Pavillon Parc D'Iberville|1|600|1re, Rue |Québec|Pavillon de services et de loisirs
Pavillon Parc du Musée|1|255|Grande Allée Ouest, |Québec|Pavillon de services et de loisirs
Pavillon Parc du Père-Frédéric|2|2655|Robitaille, Rue |Québec|Pavillon de services et de loisirs
Pavillon Parc du Petit-Bois|2|5445|Banville, Avenue |Québec|Pavillon de services et de loisirs
Pavillon Parc Durocher|1|290|Carillon, Rue de |Québec|Pavillon de services et de loisirs
Centre Prévert|2|1475|Virginia-Woolf, Rue |Québec|Pavillon de services et de loisirs
Pavillon Parc Saint-André|2|2125|Bastien, Boulevard |Québec|Pavillon de services et de loisirs
Pavillon Parc Saint-François-Xavier|2|2175|Laurent-Laroche, Rue |Québec|Pavillon de services et de loisirs
Pavillon Parc Saint-Raphaël|6|3535|Rivière-Nelson, Rue de la |Québec|Pavillon de services et de loisirs
Pavillon Parc Véga|6|10855|Lauriers, Rue des |Québec|Pavillon de services et de loisirs
Bloc sanitaire Parc Victoria|1|100|Cardinal-Maurice-Roy, Rue du |Québec|Pavillon de services et de loisirs
Pavillon auxiliaire Parc Victoria|1|100|Cardinal-Maurice-Roy, Rue du |Québec|Pavillon de services et de loisirs
Chapelle Parc Victoria|1||Chênevert, Rue |Québec|Pavillon de services et de loisirs
Pavillon Place d'Youville|1||Place D'Youville, Ilot |Québec|Pavillon de services et de loisirs
