NOM|TYPE|VAL_PATRI|CLASSIF|STATUT|RELIGION|ARROND|QUARTIER|LONGITUDE|LATITUDE
Église de St. Stephen et de  St. Vincent's|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|Sainte-Foy-Sillery-Cap-Rouge|Sillery|-71.258948|46.778627
Église de Saint-Thomas-d'Aquin|église|Valeur patrimoniale élevée|Non disponible|Ouverte au culte|Catholique Romain|Sainte-Foy-Sillery-Cap-Rouge|Cité Universitaire|-71.268389|46.788364
Église de Saint-Yves|église|Valeur patrimoniale significative|Non disponible|Ouverte au culte|Catholique Romain|Sainte-Foy-Sillery-Cap-Rouge|Sillery|-71.273546|46.772692
Église Trinity|église|Valeur communautaire|Non disponible|Ouverte au culte|Anglican|Sainte-Foy-Sillery-Cap-Rouge|Cité Universitaire|-71.293226|46.777656
Église de St. Michael's|église|Valeur patrimoniale élevée|Exceptionnelle|Ouverte au culte|Anglican|Sainte-Foy-Sillery-Cap-Rouge|Sillery|-71.247923|46.780687
Église du Bon-Pasteur|église|Valeur communautaire|Non disponible|Démolie|Catholique Romain|Charlesbourg|Notre-Dame-des-Laurentides|-71.308131|46.899565
Église de Saint-Jérôme|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|Charlesbourg|Jésuites|-71.254772|46.855304
Église de Saint-Pierre-aux-Liens|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|Charlesbourg|Quartier 4-2|-71.286243|46.881613
Église de Notre-Dame-des-Laurentides|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|Charlesbourg|Notre-Dame-des-Laurentides|-71.340476|46.911394
Église de Sainte-Maria-Goretti|église|Valeur patrimoniale significative|Non disponible|Fermée au culte|Catholique Romain|Charlesbourg|Quartier 4-5|-71.274009|46.852442
Église de Notre-Dame-de-l'Espérance|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|Beauport|Vieux-Moulin|-71.232670|46.853796
Église de Sainte-Gertrude|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|Beauport|Quartier 5-4|-71.187258|46.869789
Église de Sainte-Françoise-Cabrini|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|La Haute-Saint-Charles|Lac-Saint-Charles|-71.374940|46.907777
Église de Sainte-Marie-Médiatrice|église|Valeur communautaire|Non disponible|Fermée au culte|Catholique Romain|La Haute-Saint-Charles|Loretteville|-71.369806|46.859769
Église de Saint-Augustin-de-Desmaures|église|Valeur patrimoniale élevée|Exceptionnelle|Ouverte au culte|Catholique Romain|NON DISPONIBLE|NON DISPONIBLE|-71.458866|46.743170
Église de Notre-Dame-de-la-Garde|église|Valeur patrimoniale significative|Supérieure|Ouverte au culte|Catholique Romain|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.217374|46.798664
Église de Notre-Dame-des-Victoires|église|Valeur patrimoniale élevée|Exceptionnelle|Ouverte au culte|Catholique Romain|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.202699|46.812749
Église de Saint-André|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|Les Rivières|Neufchâtel-Est/Lebourgneuf|-71.334802|46.856459
Église de Saint-François-Xavier|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|Les Rivières|Duberger-Les Saules|-71.297784|46.812500
Église de Saint-Roch|église|Valeur patrimoniale élevée|Exceptionnelle|Ouverte au culte|Catholique Romain|La Cité-Limoilou|Saint-Roch|-71.222340|46.815208
Église de Saint-Sauveur|église|Valeur patrimoniale élevée|Exceptionnelle|Ouverte au culte|Catholique Romain|La Cité-Limoilou|Saint-Sauveur|-71.235800|46.810860
St. Patrick Church|église||Non disponible|Démolie|Catholique Romain|La Cité-Limoilou|Saint-Jean-Baptiste|-71.223056|46.803585
Église de St. Patrick's|église||Non disponible|Recyclée|Catholique Romain|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.211183|46.814280
Église Baptist|église|Valeur patrimoniale significative|Moyenne|Ouverte au culte|Protestant-Baptiste|La Cité-Limoilou|Montcalm|-71.223609|46.802617
Chapelle de l'évêque anglican|chapelle||Non disponible|Ouverte au culte|Anglican|La Cité-Limoilou|Vieux-Québec/Cap-Blanc/Colline parlementaire|-71.206797|46.812526
Église temporaire Saint-Fidéle|église||Non disponible|Recyclée|Catholique Romain|La Cité-Limoilou|Vieux-Limoilou|-71.228212|46.829714
Église protestante française|église||Non disponible|Recyclée|Protestant-Presbytérien|La Cité-Limoilou|Saint-Jean-Baptiste|-71.216979|46.811061
Église évangélique Belvédère|église||Non disponible|Ouverte au culte|Église réformée Baptiste du Québec|La Cité-Limoilou|Saint-Sacrement|-71.244760|46.801225
Centre d'art La Chapelle|chapelle||Non disponible|Recyclée|Catholique Romain|Les Rivières|Vanier|-71.261631|46.824485
St. Peter's Church|chapelle||Non disponible|Démolie|Anglican|La Cité-Limoilou|Saint-Roch|-71.218549|46.813863
Église de Sainte-Cécile|église|Valeur patrimoniale significative|Non disponible|Ouverte au culte|Catholique Romain|Charlesbourg|Quartier 4-5|-71.281422|46.863860
Église de Saint-Charles-Borromée|église|Valeur patrimoniale élevée|Incontournable|Ouverte au culte|Catholique Romain|Charlesbourg|Quartier 4-5|-71.270224|46.860990
Église de Saint-Rodrigue|église|Valeur communautaire|Non disponible|Ouverte au culte|Catholique Romain|Charlesbourg|Quartier 4-6|-71.250992|46.846185
Église de Saint-Grégoire-de-Montmorency|église|Valeur patrimoniale élevée|Supérieure|Ouverte au culte|Catholique Romain|Beauport|Chutes-Montmorency|-71.155545|46.878268
Église de Saint-Thomas-de-Villeneuve|église|Valeur communautaire|Non disponible|Démolie|Catholique Romain|Beauport|Quartier 5-4|-71.174369|46.873550
Église de La-Nativité-de-Notre-Dame|église|Valeur patrimoniale élevée|Exceptionnelle|Ouverte au culte|Catholique Romain|Beauport|Quartier 5-4|-71.189037|46.859151
Église de Saint-Louis-de-Courville|église|Valeur patrimoniale significative|Supérieure|Ouverte au culte|Catholique Romain|Beauport|Chutes-Montmorency|-71.158547|46.885452
Église de Sainte-Thérèse-de-l'Enfant-Jésus|église|Valeur patrimoniale significative|Moyenne|Ouverte au culte|Catholique Romain|Beauport|Quartier 5-1|-71.189731|46.905850
