Pavillon Parc Bardy|1|2025|Adjutor-Rivard, Rue |Québec|Pavillon de services et de loisirs|46.8423659|-71.2244432
Pavillon Parc de l'Accueil|2||Primevères, Rue des |Québec|Pavillon de services et de loisirs|46.8149819|-71.2817443
Pavillon Parc Montchatel|6|13550|Duhamel, Rue |Québec|Pavillon de services et de loisirs|46.8522976|-71.392348
Pavillon Parc Sainte-Odile|1|255|Peupliers Ouest, Rue des |Québec|Pavillon de services et de loisirs|46.8338903|-71.2547617
Pavillon Parc de Saint-Sacrement|1|1360|Entente, Boulevard de l' |Québec|Pavillon de services et de loisirs|0|0
Pavillon Parc des Brumes|2|6920|Brumes, Rue des |Québec|Pavillon de services et de loisirs|46.8302027|-71.3213126
Pavillon Parc des Musiciens|6|12085|Saint-Claude, Boulevard |Québec|Pavillon de services et de loisirs|46.8456773|-71.3816446
Pavillon Parc D'Iberville|1|600|1re, Rue |Québec|Pavillon de services et de loisirs|46.8219725|-71.2211851
Pavillon Parc du Musée|1|255|Grande Allée Ouest, |Québec|Pavillon de services et de loisirs|46.800599|-71.2264495
Pavillon Parc du Père-Frédéric|2|2655|Robitaille, Rue |Québec|Pavillon de services et de loisirs|46.8187549|-71.3093155
Pavillon Parc du Petit-Bois|2|5445|Banville, Avenue |Québec|Pavillon de services et de loisirs|46.8214606|-71.3291943
Pavillon Parc Durocher|1|290|Carillon, Rue de |Québec|Pavillon de services et de loisirs|46.8116071|-71.2373141
Centre Prévert|2|1475|Virginia-Woolf, Rue |Québec|Pavillon de services et de loisirs|46.8478271|-71.306539
Pavillon Parc Saint-André|2|2125|Bastien, Boulevard |Québec|Pavillon de services et de loisirs|46.858318|-71.3353466
Pavillon Parc Saint-François-Xavier|2|2175|Laurent-Laroche, Rue |Québec|Pavillon de services et de loisirs|46.8152083|-71.3007642
Pavillon Parc Saint-Raphaël|6|3535|Rivière-Nelson, Rue de la |Québec|Pavillon de services et de loisirs|46.8662966|-71.3872341
Pavillon Parc Véga|6|10855|Lauriers, Rue des |Québec|Pavillon de services et de loisirs|46.8433314|-71.3702068
Bloc sanitaire Parc Victoria|1|100|Cardinal-Maurice-Roy, Rue du |Québec|Pavillon de services et de loisirs|46.8191341|-71.2339648
Pavillon auxiliaire Parc Victoria|1|100|Cardinal-Maurice-Roy, Rue du |Québec|Pavillon de services et de loisirs|46.8191341|-71.2339648
Chapelle Parc Victoria|1||Chênevert, Rue |Québec|Pavillon de services et de loisirs|46.8149192|-71.2369559
Pavillon Place d'Youville|1||Place D'Youville, Ilot |Québec|Pavillon de services et de loisirs|0|0
Chalet Lavigueur|1|51|Pointe-aux-Lièvres, Rue de la |Québec|Pavillon de services et de loisirs|46.8211137|-71.2359072
Pavillon Parc Roger-Lemelin|1|548|Montmagny, Rue |Québec|Pavillon de services et de loisirs|46.8047291|-71.2393221
Pavillon Parc des Saints-Martyrs|1|950|Calixa-Lavallée, Avenue |Québec|Pavillon de services et de loisirs|46.7972193|-71.2408021
Marina Saint-Roch|1||Embarcations, Rue des |Québec|Pavillon de services et de loisirs|46.8181067|-71.2281675
Pavillon Parc Dollard-des-Ormeaux|1|320|Verdun, Rue de |Québec|Pavillon de services et de loisirs|46.8054297|-71.2472449
Pavillon piscine Parc Marchand|1|2740|2e, Avenue |Québec|Pavillon de services et de loisirs|46.8282693|-71.2336972
Pavillon Parc Notre-Dame-de-la-Garde|1|488|Champlain, Boulevard |Québec|Pavillon de services et de loisirs|46.8019082|-71.2100262
Pavillon Parc Sainte-Monique|2|3725|Chevalier, Rue |Québec|Pavillon de services et de loisirs|46.8125957|-71.3202508
Pavillon piscines Parc de Saint-Sacrement|1|1360|Entente, Boulevard de l' |Québec|Pavillon de services et de loisirs|0|0
Pavillon Parc Saint-Viateur|4|705|Saint-Viateur, Rue |Charlesbourg|Pavillon de services et de loisirs|46.8786534|-71.2444046
Centre communautaire Duberger/Caserne #5 Duberger|2|2345|Rivière-du-Berger, Rue de la |Québec|Centre communautaire|46.8104392|-71.2941404
Pavillon Parc-école Dominique-Savio|1|1990|Trinité, Rue de la |Québec|Pavillon de services et de loisirs|46.8366438|-71.217296
Pavillon Parc-école Saint-Paul-Apôtre|1|2582|8e, Avenue |Québec|Pavillon de services et de loisirs|46.8376726|-71.2349892
Pavillon Parc de l'Esplanade|1|60|D'Auteuil, Rue |Québec|Pavillon de services et de loisirs|46.8109582|-71.2112046
Pavillon René-Lafond|6|6106|Accueil, Rue de l' |Saint-Émile|Pavillon de services et de loisirs|0|0
Toilette piscine Parc du Musée|1|255|Grande Allée Ouest|Québec|Bâtiment accessoire|46.800599|-71.2264495
Maison des jeunes L'Adoasis|2|4040|Michelet, Rue |Québec|Centre communautaire|46.8122055|-71.3235332
Pavillon du Parc de L'Anse-à-Cartier|1|45|Jacques-Cartier, Rue |Québec|Pavillon de services et de loisirs|46.8249685|-71.2352861
Centre communautaire Champigny|3|7519|Wilfrid-Hamel, Boulevard |Sainte-Foy|Centre communautaire|46.7759496|-71.3737757
Pavillon du Jardin de Saint-Roch|1|495|Couronne, Rue de la |Québec|Pavillon de services et de loisirs|46.8127474|-71.2234927
Pavillon piscines Parc Bardy|1|2350|Bardy, Avenue |Québec|Pavillon de services et de loisirs|46.8433948|-71.225933
Bloc sanitaire Parc de la Terrasse Bon-Air|4|1085|60e Est, Rue |Charlesbourg|Pavillon de services et de loisirs|46.8577769|-71.2412337
Bâtiment de service Parc de la Grande-Oasis|6|1920|Tricornes, Rue des |Saint-Émile|Pavillon de services et de loisirs|46.8741968|-71.3357722
Pavillon Claude-Bégin|6|560|Pacifique, Rue |Lac-Saint-Charles|Pavillon de services et de loisirs|46.8934644|-71.3711312
Pavillon Louis-Germain-Castonguay|6|10855|Lauriers, Rue des |Québec|Pavillon de services et de loisirs|46.8433314|-71.3702068
Pavillon d'accueil Base Plein-air Ste-Foy(PROJETÉ)|3||Laberge, Rue |Sainte-Foy|Pavillon de services et de loisirs|46.7836172|-71.3390724
Centre Monseigneur-Marcoux (LOCATION)|1|1885|Canardière, Chemin de la |Québec|Centre communautaire|46.8386946|-71.2216535
Toilettes Maison Robert-Paré (LOCATION)|1|15|Notre-Dame, Rue |Québec|Bâtiment accessoire|46.8128831|-71.2029886
Bâtiment de services soccer du Foulon|3|2349|Foulon, Chemin du |Sillery|Pavillon de services et de loisirs|46.7669077|-71.2590406
Centre commun. Jean-Guy Drolet/TIT (PROP TIERS)|1|16|Royal-Roussillon, Rue |Québec|Centre communautaire|46.8267915|-71.2356851
Les loisirs Montcalm/TIT (PROP TIERS)|1|265|René-Lévesque Ouest, Boulevard |Québec|Centre communautaire|46.802738|-71.2290841
Centre Durocher/TIT (PROP TIERS)|1|290|Durocher, Rue |Québec|Centre communautaire|46.8111139|-71.238071
Toilette Quartier du Petit-Champlain (LOCATION)|1|64|Champlain, Boulevard|Québec|Bâtiment accessoire|46.8112296|-71.203345
Pavillon de service Parc Ross|3|1290|Ernest-Lavigne, Avenue |Sillery|Pavillon de services et de loisirs|46.7740765|-71.2668747
Pavillon piscine Parc Saint-Denys|3|980|Joli-Bois, Rue du |Sainte-Foy|Pavillon de services et de loisirs|46.7754774|-71.2891046
Pavillon Parc N.-D.-des-Laurentides|4|90|Vallon, Rue du |Charlesbourg|Pavillon de services et de loisirs|46.9089576|-71.3405147
Pavillon Parc linéaire Lac St-Charles|6|433|Delage, Rue |Lac-Saint-Charles|Pavillon de services et de loisirs|46.9102992|-71.3722416
École primaire Trois-Saisons (LOCATION)|3|1469|Buffon, Rue |Sainte-Foy|Pavillon de services et de loisirs|46.8138946|-71.380422
Centre culturel et commun. D'Estimauville(PROJETÉ)|1|2875|Sainte-Anne, Boulevard |Beauport|Centre communautaire|46.8463667|-71.2116935
Maison des jeunes St-Jean-Baptiste (LOUÉ)|1|655|Saint-Gabriel, Rue |Québec|Centre communautaire|46.8098895|-71.2190799
Refuge Parc du Mont-Bélair (À L'ÉTUDE)|6||Gaudar, Rue |Val-Bélair|Pavillon de services et de loisirs|46.8462604|-71.4593464
Caisse populaire des Rivières (EN ACQUISITION)|2|2615|Masson, Boulevard |Québec|Centre communautaire|0|0
Pavillon de service Parc Victoria (PROJETÉ)|1||Robert-Rumilly, Rue |Québec|Pavillon de services et de loisirs|46.8175402|-71.2359838
Chalet St-Vincent-Paul (LOUÉ)|4|45|Moïse-Verret, Rue |Charlesbourg|Pavillon de services et de loisirs|46.9107551|-71.3403763
Bâtiment de service Parc Saint-Jérôme|4|585|64e Est, Rue |Charlesbourg|Pavillon de services et de loisirs|46.8562776|-71.2520078
Y.M.C.A. (PROJETÉ)|1||Cardinal-Maurice-Roy, Rue du |Québec|Centre communautaire|46.8190828|-71.2348141
Maison de la danse La Rotonde (LOCATION)|1|336|Roi, Rue du |Québec|Centre communautaire|46.8145295|-71.2265293
Centre communautaire Les Saules (LOCATION)|2|4124|De Musset, Rue |Québec|Centre communautaire|46.810456|-71.3215053
